timestamp,apparent,active
2011-04-18 09:00:00-04:00,446.8669,377.61377
2011-04-18 10:00:00-04:00,368.56238,315.98834
2011-04-18 11:00:00-04:00,385.7995,329.0454
2011-04-18 12:00:00-04:00,204.15723,153.93584
2011-04-18 13:00:00-04:00,138.70729,100.1075
2011-04-18 14:00:00-04:00,238.96878,196.94458
2011-04-18 15:00:00-04:00,275.51498,219.01666
2011-04-18 16:00:00-04:00,384.8245,310.74667
2011-04-18 17:00:00-04:00,345.4221,257.56668
2011-04-18 18:00:00-04:00,947.6454,843.22375
2011-04-18 19:00:00-04:00,888.4457,786.1221
2011-04-18 20:00:00-04:00,988.54956,923.06586
2011-04-18 21:00:00-04:00,849.2687,780.47125
2011-04-18 22:00:00-04:00,381.79666,309.89
2011-04-18 23:00:00-04:00,373.09637,327.76334
2011-04-19 00:00:00-04:00,237.13219,198.90042
2011-04-19 01:00:00-04:00,222.59673,186.5375
2011-04-19 02:00:00-04:00,211.625,175.4725
2011-04-19 03:00:00-04:00,219.48921,183.16208
2011-04-19 04:00:00-04:00,189.5462,153.985
2011-04-19 05:00:00-04:00,222.1159,187.54042
2011-04-19 06:00:00-04:00,232.71678,190.795
2011-04-19 07:00:00-04:00,744.8898,677.03
2011-04-19 08:00:00-04:00,320.65707,252.7375
2011-04-19 09:00:00-04:00,351.19098,284.37125
2011-04-19 10:00:00-04:00,287.11392,219.86333
2011-04-19 11:00:00-04:00,201.05501,144.01709
2011-04-19 12:00:00-04:00,218.17065,165.08
2011-04-19 13:00:00-04:00,266.95728,203.15666
2011-04-19 14:00:00-04:00,292.44122,227.93333
2011-04-19 15:00:00-04:00,303.35294,229.67334
2011-04-19 16:00:00-04:00,339.35773,250.02834
2011-04-19 17:00:00-04:00,447.07684,359.27374
2011-04-19 18:00:00-04:00,431.83658,348.52832
2011-04-19 19:00:00-04:00,381.88,298.0
2011-04-19 20:00:00-04:00,411.71072,341.40417
2011-04-19 21:00:00-04:00,301.2739,265.03708
2011-04-19 22:00:00-04:00,199.85837,167.41083
2011-04-19 23:00:00-04:00,210.31367,177.44917
2011-04-20 00:00:00-04:00,217.29541,183.46333
2011-04-20 01:00:00-04:00,215.95276,181.23167
2011-04-20 02:00:00-04:00,312.57666,278.39584
2011-04-20 03:00:00-04:00,283.68607,248.56041
2011-04-20 04:00:00-04:00,227.04037,192.5375
2011-04-20 05:00:00-04:00,213.99928,179.225
2011-04-20 06:00:00-04:00,511.00092,437.965
2011-04-20 07:00:00-04:00,467.61758,397.32916
2011-04-20 08:00:00-04:00,523.8274,461.7721
2011-04-20 09:00:00-04:00,110.414856,70.455
2011-04-20 10:00:00-04:00,133.4998,93.51
2011-04-20 11:00:00-04:00,140.20833,99.32083
2011-04-20 12:00:00-04:00,141.30408,101.62334
2011-04-20 13:00:00-04:00,140.70335,100.515
2011-04-20 14:00:00-04:00,141.93849,101.42834
2011-04-20 15:00:00-04:00,139.80743,99.93
2011-04-20 16:00:00-04:00,130.85861,90.5025
2011-04-20 17:00:00-04:00,577.1372,500.41165
2011-04-20 18:00:00-04:00,372.42,275.18085
2011-04-20 19:00:00-04:00,434.61917,366.8975
2011-04-20 20:00:00-04:00,296.61398,249.21666
2011-04-20 21:00:00-04:00,215.30504,183.87334
