timestamp,apparent,active,
2011-04-18 17:13:03-04:00,246.25964,248.40176,
2011-04-18 17:13:06-04:00,246.07793,248.21442,
2011-04-18 17:13:09-04:00,246.93253,249.08359,
2011-04-18 17:13:12-04:00,246.9079,249.06586,
2011-04-18 17:13:15-04:00,246.10509,248.25676,
2011-04-18 17:13:18-04:00,246.18697,248.32448,
2011-04-18 17:13:21-04:00,245.32158,247.43867,
2011-04-18 17:13:24-04:00,245.22012,247.314,
2011-04-18 17:13:27-04:00,247.12074,249.23077,
2011-04-18 17:13:30-04:00,251.09459,253.24507,
2011-04-18 17:13:33-04:00,245.3735,247.46687,
2011-04-18 17:13:36-04:00,246.34909,248.45792,
2011-04-18 17:13:39-04:00,246.2553,248.35977,
2011-04-18 17:13:42-04:00,251.9633,254.13121,
2011-04-18 17:13:45-04:00,247.41011,249.54727,
2011-04-18 17:13:48-04:00,249.06215,251.19708,
2011-04-18 17:13:51-04:00,251.99876,254.16443,
2011-04-18 17:13:54-04:00,250.87341,253.02065,
2011-04-18 17:13:57-04:00,245.26976,247.38092,
2011-04-18 17:14:00-04:00,245.28955,247.4043,
2011-04-18 17:14:03-04:00,245.23265,247.34355,
2011-04-18 17:14:06-04:00,245.28241,247.39824,
2011-04-18 17:14:09-04:00,245.39653,247.51488,
2011-04-18 17:14:12-04:00,248.94995,251.094,
2011-04-18 17:14:15-04:00,248.90201,251.06801,
2011-04-18 17:14:18-04:00,247.6564,249.8145,
2011-04-18 17:14:21-04:00,248.0704,250.271,
2011-04-18 17:14:24-04:00,251.0333,253.24997,
2011-04-18 17:14:27-04:00,251.84433,254.0564,
2011-04-18 17:14:30-04:00,250.86247,253.05536,
2011-04-18 17:14:33-04:00,250.89679,253.08676,
2011-04-18 17:14:36-04:00,251.7056,253.89964,
2011-04-18 17:14:39-04:00,248.82484,251.00986,
2011-04-18 17:14:42-04:00,248.9962,251.19197,
2011-04-18 17:14:45-04:00,249.74728,251.93526,
2011-04-18 17:14:48-04:00,250.89154,253.09654,
2011-04-18 17:14:51-04:00,250.583,252.76965,
2011-04-18 17:14:54-04:00,248.5184,250.70206,
2011-04-18 17:14:57-04:00,248.35332,250.55354,
2011-04-18 17:15:00-04:00,248.5509,250.7674,
2011-04-18 17:15:03-04:00,248.75278,250.96217,
2011-04-18 17:15:06-04:00,248.93019,251.11531,
2011-04-18 17:15:09-04:00,247.79117,249.93953,
2011-04-18 17:15:12-04:00,247.93567,250.0945,
2011-04-18 17:15:15-04:00,248.03447,250.18683,
2011-04-18 17:15:18-04:00,249.68823,251.85464,
2011-04-18 17:15:21-04:00,248.9318,251.12828,
2011-04-18 17:15:24-04:00,252.53561,254.76451,
2011-04-18 17:15:27-04:00,254.31616,256.56912,
2011-04-18 17:15:30-04:00,250.71492,252.95923,
2011-04-18 17:15:33-04:00,248.96948,251.20105,
2011-04-18 17:15:36-04:00,248.91635,251.14104,
