timestamp,active
2011-04-18 09:00:00-04:00,0.15383922
2011-04-18 10:00:00-04:00,0.22760761
2011-04-18 11:00:00-04:00,0.20685416
2011-04-18 12:00:00-04:00,0.24393116
2011-04-18 13:00:00-04:00,0.26884845
2011-04-18 14:00:00-04:00,0.22206633
2011-04-18 15:00:00-04:00,0.2551811
2011-04-18 16:00:00-04:00,0.15438917
2011-04-18 17:00:00-04:00,0.18428527
2011-04-18 18:00:00-04:00,0.14549483
2011-04-18 19:00:00-04:00,0.08291225
2011-04-18 20:00:00-04:00,0.08511519
2011-04-18 21:00:00-04:00,0.073654726
2011-04-18 22:00:00-04:00,0.10411869
2011-04-18 23:00:00-04:00,0.24635041
2011-04-19 00:00:00-04:00,0.34730005
2011-04-19 01:00:00-04:00,0.3288466
2011-04-19 02:00:00-04:00,0.34794068
2011-04-19 03:00:00-04:00,0.43682945
2011-04-19 04:00:00-04:00,0.37287265
2011-04-19 05:00:00-04:00,0.3375765
2011-04-19 06:00:00-04:00,0.25951174
2011-04-19 07:00:00-04:00,0.17243108
2011-04-19 08:00:00-04:00,0.36516196
2011-04-19 09:00:00-04:00,0.38539988
2011-04-19 10:00:00-04:00,0.37158093
2011-04-19 11:00:00-04:00,0.26438814
2011-04-19 12:00:00-04:00,0.52953005
2011-04-19 13:00:00-04:00,0.37180105
2011-04-19 14:00:00-04:00,0.36529824
2011-04-19 15:00:00-04:00,0.3428905
2011-04-19 16:00:00-04:00,0.31983262
2011-04-19 17:00:00-04:00,0.28265736
2011-04-19 18:00:00-04:00,0.23144434
2011-04-19 19:00:00-04:00,
2011-04-19 20:00:00-04:00,0.1914433
2011-04-19 21:00:00-04:00,0.054318454
2011-04-19 22:00:00-04:00,0.06743835
2011-04-19 23:00:00-04:00,0.07547247
2011-04-20 00:00:00-04:00,0.18447946
2011-04-20 01:00:00-04:00,0.16182937
2011-04-20 02:00:00-04:00,0.24506992
2011-04-20 03:00:00-04:00,0.19192418
2011-04-20 04:00:00-04:00,0.17125659
2011-04-20 05:00:00-04:00,0.13299179
2011-04-20 06:00:00-04:00,0.11725051
2011-04-20 07:00:00-04:00,0.10174661
2011-04-20 08:00:00-04:00,0.13888444
2011-04-20 09:00:00-04:00,0.09622835
2011-04-20 10:00:00-04:00,0.12797855
2011-04-20 11:00:00-04:00,0.10390447
2011-04-20 12:00:00-04:00,0.11585263
2011-04-20 13:00:00-04:00,0.11122513
2011-04-20 14:00:00-04:00,0.11631512
2011-04-20 15:00:00-04:00,0.116702385
